fullName,phone,residence,email,service,foodQuality,beverageQuality,atmosphere,valueForMoney,cleanliness,staffFriendliness,experience,interests,visitedBefore,visitFrequency,source,otherSource,timestamp,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Karan Patel,9800877422,Hyderabad,karan315@gmail.com,5,5,4,5,5,5,4,"Absolutely loved it, will come again","Adopting, Fostering, Volunteering",No,4,Other,nan,"01/02/2026, 7:15:08 PM",,,,,,,,
Pooja Reddy,9461044644,Bangalore,pooja708@gmail.com,1,1,2,2,2,1,1,Terrible experience overall,Adopting,Yes,5,Google,,"01/02/2026, 11:32:41 PM",,,,,,,,
Riya Sharma,9993974942,Kolkata,riya406@gmail.com,1,2,1,2,2,1,1,"Not satisfied, won't visit again",Adopting,No,2,Instagram,,"01/03/2026, 12:29:30 PM",,,,,,,,
Riya Sharma,9523540348,Ahmedabad,riya101@gmail.com,4,2,3,4,2,3,2,Good but can improve,"Fostering, Adopting, Volunteering",No,4,Google,,"01/03/2026, 2:53:49 PM",,,,,,,,
Tanvi Kulkarni,9278376213,Nagpur,tanvi402@gmail.com,4,5,5,5,4,4,5,"Absolutely loved it, will come again","Adopting, Volunteering",Yes,5,Other,Walk-in,"01/04/2026, 1:30:56 PM",,,,,,,,
Riya Sharma,9318754259,Noida,riya939@gmail.com,2,2,3,4,3,3,2,Good but can improve,"Volunteering, Fostering, Donating",No,3,Google,,"01/04/2026, 1:51:57 PM",,,,,,,,
Priya Nair,9358188238,Kochi,priya347@gmail.com,2,1,1,1,1,2,2,"Not satisfied, won't visit again",Donating,No,4,Other,Walk-in,"01/04/2026, 6:00:04 PM",,,,,,,,
Ananya Iyer,9293785680,Ahmedabad,ananya93@gmail.com,4,5,5,5,5,4,4,"Amazing experience, loved everything","Donating, Fostering, Adopting, Volunteering",No,5,Google,,"01/04/2026, 6:31:41 PM",,,,,,,,
Sneha Joshi,9266449985,Chennai,sneha805@gmail.com,4,5,5,5,4,4,4,"Amazing experience, loved everything","Fostering, Donating, Volunteering, Adopting",Yes,5,Google,,"01/04/2026, 7:01:48 PM",,,,,,,,
Ananya Iyer,9377200914,Jaipur,ananya186@gmail.com,2,2,2,4,2,3,3,Good but can improve,"Donating, Volunteering, Fostering, Adopting",Yes,5,Other,Ads,"01/05/2026, 7:45:10 AM",,,,,,,,
Karan Patel,9622649460,Delhi,karan847@gmail.com,2,1,2,2,2,2,2,Terrible experience overall,"Fostering, Volunteering",No,4,Other,Event,"01/05/2026, 1:34:48 PM",,,,,,,,
Aarav Mehta,9062007797,Indore,aarav614@gmail.com,4,5,4,5,4,5,4,"Amazing experience, loved everything","Volunteering, Adopting, Fostering, Donating",Yes,1,Other,Event,"01/06/2026, 7:06:59 PM",,,,,,,,
Aditya Roy,9960573532,Pune,aditya387@gmail.com,3,3,4,4,4,4,2,Food was fine,"Volunteering, Donating",No,2,Other,Event,"01/06/2026, 7:25:10 PM",,,,,,,,
Arjun Kapoor,9742121606,Jaipur,arjun855@gmail.com,1,1,1,2,1,2,1,"Not satisfied, won't visit again",Adopting,Yes,2,Other,Event,"01/07/2026, 7:19:25 AM",,,,,,,,
Tanvi Kulkarni,9124180015,Mumbai,tanvi152@gmail.com,1,2,1,1,2,1,2,Food quality was poor,"Adopting, Donating, Fostering",Yes,3,Google,,"01/07/2026, 7:38:23 AM",,,,,,,,
Neha Verma,9813362395,Pune,neha471@gmail.com,5,4,4,5,4,5,4,Perfect ambience and service,"Fostering, Donating, Adopting",No,2,Other,Walk-in,"01/07/2026, 3:59:37 PM",,,,,,,,
Sneha Joshi,9047261698,Hyderabad,sneha180@gmail.com,2,1,2,1,1,2,2,Cleanliness was unacceptable,Volunteering,No,5,Other,Ads,"01/07/2026, 10:52:52 PM",,,,,,,,
Arjun Kapoor,9024443254,Chennai,arjun877@gmail.com,4,3,2,4,4,3,4,Service was okay,Volunteering,Yes,3,Instagram,,"01/08/2026, 10:11:36 AM",,,,,,,,
Dev Shah,9518356535,Noida,dev428@gmail.com,2,2,1,2,1,2,1,Food quality was poor,"Adopting, Fostering",No,1,Google,,"01/09/2026, 12:39:06 AM",,,,,,,,
Sahil Khan,9619088245,Nagpur,sahil679@gmail.com,4,4,5,4,5,5,5,Top quality in every aspect,"Donating, Fostering",No,2,Other,Ads,"01/10/2026, 2:58:25 AM",,,,,,,,
Karan Patel,9790855552,Surat,karan529@gmail.com,3,3,2,2,4,4,4,Average experience overall,"Volunteering, Donating, Adopting",Yes,5,Instagram,,"01/10/2026, 9:44:09 AM",,,,,,,,
